Date,EBH,WBH,TH,EBM,WBM,TM
2018-09-16,1080,1501,2581,1258,1575,2833
2018-09-17,2727,2479,5206,2710,2341,5051
2018-09-18,2871,2692,5563,2850,2491,5341
2018-09-19,2762,2459,5221,2731,2424,5155
2018-09-20,2508,2217,4725,2479,2155,4634
2018-09-21,2076,1795,3871,2027,1736,3763
2018-09-22,1496,1435,2931,1838,1676,3514
2018-09-23,1383,1362,2745,1582,1534,3116
2018-09-24,2253,2078,4331,2266,2012,4278
2018-09-25,1274,1170,2444,1214,1122,2336
2018-09-26,2387,2127,4514,2361,2100,4461
2018-09-27,2515,2345,4860,2582,2226,4808
2018-09-28,2223,2008,4231,2280,2003,4283
2018-09-29,1558,1402,2960,1787,1519,3306
2018-09-30,1009,1109,2118,1194,1164,2358
2018-10-01,1204,1149,2353,1157,1112,2269
2018-10-02,1094,993,2087,913,967,1880
2018-10-03,2264,2122,4386,2154,1921,4075
2018-10-04,2023,1909,3932,1905,1871,3776
2018-10-05,1743,1555,3298,1743,1572,3315
2018-10-06,784,724,1508,981,846,1827
2018-10-07,700,635,1335,763,756,1519
2018-10-08,771,737,1508,828,794,1622
2018-10-09,2409,2277,4686,2474,2217,4691
2018-10-10,2645,2388,5033,2533,2233,4766
2018-10-11,2374,2184,4558,2307,2063,4370
2018-10-12,1856,1677,3533,1791,1675,3466
2018-10-13,1198,1035,2233,1191,1161,2352
2018-10-14,1204,1115,2319,1340,1262,2602
2018-10-15,1249,1185,2434,1154,1179,2333
2018-10-16,1917,1786,3703,1869,1703,3572
2018-10-17,1822,1642,3464,1763,1521,3284
2018-10-18,1815,1674,3489,1712,1588,3300
2018-10-19,1788,1587,3375,1768,1572,3340
2018-10-20,1144,1094,2238,1318,1231,2549
2018-10-21,868,810,1678,1032,957,1989
2018-10-22,1878,1753,3631,1792,1620,3412
2018-10-23,1583,1409,2992,1492,1347,2839
2018-10-24,1799,1619,3418,1708,1603,3311
2018-10-25,1836,1690,3526,1843,1598,3441
2018-10-26,1659,1534,3193,1658,1433,3091
2018-10-27,582,574,1156,702,691,1393
2018-10-28,731,671,1402,780,688,1468
2018-10-29,1428,1282,2710,1345,1266,2611
2018-10-30,1936,1773,3709,1845,1643,3488
2018-10-31,1001,1003,2004,991,899,1890
2018-11-01,958,831,1789,991,823,1814
2018-11-02,962,904,1866,928,903,1831
2018-11-03,747,774,1521,932,861,1793
2018-11-04,881,833,1714,1036,939,1975
2018-11-05,1043,1006,2049,1095,1000,2095
2018-11-06,1016,983,1999,1001,937,1938
2018-11-07,1423,1291,2714,1464,1286,2750
2018-11-08,1488,1333,2821,1437,1292,2729
2018-11-09,692,571,1263,631,556,1187
2018-11-10,632,559,1191,713,649,1362
2018-11-11,679,652,1331,774,718,1492
2018-11-12,1355,1260,2615,1325,1278,2603
2018-11-13,1293,1174,2467,1200,1147,2347
2018-11-14,1274,1193,2467,1192,1085,2277
2018-11-15,957,806,1763,887,715,1602
2018-11-16,451,498,949,459,484,943
2018-11-17,605,576,1181,731,673,1404
2018-11-18,411,439,850,434,487,921
2018-11-19,1241,1181,2422,1207,1151,2358
2018-11-20,1051,977,2028,989,883,1872
2018-11-21,902,800,1702,867,760,1627
2018-11-22,805,768,1573,758,711,1469
2018-11-23,1011,951,1962,945,916,1861
2018-11-24,448,422,870,518,527,1045
2018-11-25,655,645,1300,758,727,1485
2018-11-26,442,384,826,414,387,801
2018-11-27,919,843,1762,805,764,1569
2018-11-28,902,823,1725,870,760,1630
2018-11-29,1092,1058,2150,1066,957,2023
